id,名称,叠加上限
,,
int,string,int
20001001,太阳水,999
20001002,强效太阳水,999
20001003,万年雪霜,999
20001004,金疮药(小),999
20001005,金疮药(中),999
20001006,金疮药(大),999
20002001,HP药水,999
20002002,攻击药水,999
20002003,魔力药水,999
20002004,道术药水,999
21000001,10绑元,999
21000002,50绑元,999
21000003,100绑元,999
21000004,500绑元,999
21010001,10元宝,999
21010014,20元宝,999
21010015,40元宝,999
21010002,1元宝,999
21010003,100元宝,999
21010004,500元宝,999
21010006,30元宝,999
21010007,80元宝,999
21010008,120元宝,999
21010009,150元宝,999
21010010,300元宝,999
21010011,400元宝,999
21010012,600元宝,999
21010016,666元宝,999
21010017,100积分,999
23000001,玉佩碎片（小）,999
23000002,玉佩碎片（中）,999
23000003,玉佩碎片（大）,999
23010001,护盾碎片（小）,999
23010002,护盾碎片（中）,999
23010003,护盾碎片（大）,999
23020001,龙心碎片（小）,999
23020002,龙心碎片（中）,999
23020003,龙心碎片（大）,999
23030001,狼牙碎片（小）,999
23030002,狼牙碎片（中）,999
23030003,狼牙碎片（大）,999
23040001,高级转生丹,999
23040002,超级转生丹,999
23040003,转生丹,999
23050001,声望卷（小）,999
23050002,声望卷（中）,999
23050003,声望卷（大）,999
23060001,金砖（小）,999
23060002,金砖（中）,999
23060003,金砖（大）,999
23070001,绑定元宝兑换券,999
23080001,双倍宝典（1小时）,999
23080002,双倍宝典（2小时）,999
23080003,双倍宝典（4小时）,999
23080004,双倍宝典（8小时）,999
23080005,三倍宝典（1小时）,999
23080006,三倍宝典（2小时）,999
23080007,三倍宝典（4小时）,999
23080008,三倍宝典（8小时）,999
23080009,四倍宝典（1小时）,999
23080010,四倍宝典（2小时）,999
23080011,四倍宝典（4小时）,999
23080012,四倍宝典（8小时）,999
23090001,战神经验丹（小）,999
23090002,战神经验丹（中）,999
23090003,战神经验丹（大）,999
23100001,50W经验丹,999
23100002,100W经验丹,999
23100003,200W经验丹,999
23100004,经验葫芦（小）,999
23100005,经验葫芦（中）,999
23100006,经验葫芦（大）,999
23100007,经验葫芦（超级）,999
24000001,战神进阶丹,999
24010001,攻城号角,999
24020001,黑铁矿石,999
24020002,青铜矿石,999
24020003,白银矿石,999
24020004,紫金矿石,999
24030001,羽毛,9999
25010001,1级攻击宝石,9999
25010002,2级攻击宝石,9999
25010003,3级攻击宝石,9999
25010004,4级攻击宝石,9999
25010005,5级攻击宝石,9999
25010006,6级攻击宝石,9999
25010007,7级攻击宝石,9999
25010008,8级攻击宝石,9999
25010009,9级攻击宝石,9999
25010010,10级攻击宝石,9999
25010011,11级攻击宝石,9999
25010012,12级攻击宝石,9999
25010013,13级攻击宝石,9999
25010014,14级攻击宝石,9999
25010015,15级攻击宝石,9999
25020001,1级物防宝石,9999
25020002,2级物防宝石,9999
25020003,3级物防宝石,9999
25020004,4级物防宝石,9999
25020005,5级物防宝石,9999
25020006,6级物防宝石,9999
25020007,7级物防宝石,9999
25020008,8级物防宝石,9999
25020009,9级物防宝石,9999
25020010,10级物防宝石,9999
25020011,11级物防宝石,9999
25020012,12级物防宝石,9999
25020013,13级物防宝石,9999
25020014,14级物防宝石,9999
25020015,15级物防宝石,9999
25030001,1级魔防宝石,9999
25030002,2级魔防宝石,9999
25030003,3级魔防宝石,9999
25030004,4级魔防宝石,9999
25030005,5级魔防宝石,9999
25030006,6级魔防宝石,9999
25030007,7级魔防宝石,9999
25030008,8级魔防宝石,9999
25030009,9级魔防宝石,9999
25030010,10级魔防宝石,9999
25030011,11级魔防宝石,9999
25030012,12级魔防宝石,9999
25030013,13级魔防宝石,9999
25030014,14级魔防宝石,9999
25030015,15级魔防宝石,9999
25040001,1级生命宝石,9999
25040002,2级生命宝石,9999
25040003,3级生命宝石,9999
25040004,4级生命宝石,9999
25040005,5级生命宝石,9999
25040006,6级生命宝石,9999
25040007,7级生命宝石,9999
25040008,8级生命宝石,9999
25040009,9级生命宝石,9999
25040010,10级生命宝石,9999
25040011,11级生命宝石,9999
25040012,12级生命宝石,9999
25040013,13级生命宝石,9999
25040014,14级生命宝石,9999
25040015,15级生命宝石,9999
25050001,1级魔法宝石,9999
25050002,2级魔法宝石,9999
25050003,3级魔法宝石,9999
25050004,4级魔法宝石,9999
25050005,5级魔法宝石,9999
25050006,6级魔法宝石,9999
25050007,7级魔法宝石,9999
25050008,8级魔法宝石,9999
25050009,9级魔法宝石,9999
25050010,10级魔法宝石,9999
25050011,11级魔法宝石,9999
25050012,12级魔法宝石,9999
25050013,13级魔法宝石,9999
25050014,14级魔法宝石,9999
25050015,15级魔法宝石,9999
25060001,1级神圣宝石,9999
25060002,2级神圣宝石,9999
25060003,3级神圣宝石,9999
25060004,4级神圣宝石,9999
25060005,5级神圣宝石,9999
25060006,6级神圣宝石,9999
25060007,7级神圣宝石,9999
25060008,8级神圣宝石,9999
25060009,9级神圣宝石,9999
25060010,10级神圣宝石,9999
25060011,11级神圣宝石,9999
25060012,12级神圣宝石,9999
25060013,13级神圣宝石,9999
25060014,14级神圣宝石,9999
25060015,15级神圣宝石,9999
25070001,1级暴击宝石,9999
25070002,2级暴击宝石,9999
25070003,3级暴击宝石,9999
25070004,4级暴击宝石,9999
25070005,5级暴击宝石,9999
25070006,6级暴击宝石,9999
25070007,7级暴击宝石,9999
25070008,8级暴击宝石,9999
25070009,9级暴击宝石,9999
25070010,10级暴击宝石,9999
25070011,11级暴击宝石,9999
25070012,12级暴击宝石,9999
25070013,13级暴击宝石,9999
25070014,14级暴击宝石,9999
25070015,15级暴击宝石,9999
25080001,1级暴伤宝石,9999
25080002,2级暴伤宝石,9999
25080003,3级暴伤宝石,9999
25080004,4级暴伤宝石,9999
25080005,5级暴伤宝石,9999
25080006,6级暴伤宝石,9999
25080007,7级暴伤宝石,9999
25080008,8级暴伤宝石,9999
25080009,9级暴伤宝石,9999
25080010,10级暴伤宝石,9999
25080011,11级暴伤宝石,9999
25080012,12级暴伤宝石,9999
25080013,13级暴伤宝石,9999
25080014,14级暴伤宝石,9999
25080015,15级暴伤宝石,9999
32000001,副本卷轴,999
32000002,玛雅卷轴,999
32000003,转生神殿卷,999
32000004,神威狱通行证,999
32000005,雷霆法师令牌,999
32000006,皓月法师令牌,999
32010001,传送石,999
32010002,回城石,999
32010003,随机传送石,999
24020005,废铁矿,999
24020006,废铜矿,999
24020007,废银矿,999
23100009,10W经验丹,999
23120001,低级荣誉令牌,999
23120002,中级荣誉令牌,999
23120003,高级荣誉令牌,999
27000001,功勋宝箱,999
24040001,祝福油,999
24040002,高级祝福油,999
24040003,超级祝福油,999
32000007,幸运卷轴,999
23140001,低级成就令牌,999
23140002,中级成就令牌,999
23140003,高级成就令牌,999
23110001,低级内功经验丹,999
23110002,中级内功经验丹,999
23110003,高级内功经验丹,999
23110004,超级内功经验丹,999
24060001,宝藏钥匙,999
27010001,1级宝石包,999
27010002,2级宝石包,999
27010003,3级宝石包,999
27010004,4级宝石包,999
27010005,5级宝石包,999
33000001,尸王的半截铁链,999
33000002,尸王的头颅,999
33000003,尸王的脚趾,999
33000004,尸王的左手,999
33000005,尸王的右手,999
33000006,尸王的肱二头肌,999
33000007,尸王的胸脯,999
33000008,尸王的后背,999
33000009,尸王的血液,999
33000101,娜迦的断杖,999
33000102,娜迦的护胸,999
33000103,娜迦的鳞片,999
33000104,娜迦的头鳍,999
33000105,娜迦的护腕,999
33000106,娜迦的背鳍,999
33000107,娜迦的断尾,999
33000108,娜迦的精魄,999
33000109,娜迦的法珠,999
33000201,触龙邪神的触角,999
33000202,触龙邪神的断脚,999
33000203,触龙邪神的半截牙,999
33000204,触龙邪神的断骨,999
33000205,触龙邪神的护甲,999
33000206,触龙邪神的关节,999
33000207,触龙邪神的毒液,999
33000208,触龙邪神的大鄂,999
33000209,触龙邪神的洞窟尘,999
33000301,荒漠霸主的岩角,999
33000302,荒漠霸主的断臂,999
33000303,荒漠霸主的背部碎石,999
33000304,荒漠霸主的心脏,999
33000305,荒漠霸主的碎石痂,999
33000306,荒漠霸主的岩石头颅,999
33000307,荒漠霸主的肩膀,999
33000308,荒漠霸主的巨足,999
33000309,荒漠霸主的岩甲,999
33000401,血炼猪魔的毛发,999
33000402,血炼猪魔的尖长牙,999
33000403,血炼猪魔的猪鼻子,999
33000404,血炼猪魔的铁球,999
33000405,血炼猪魔的铁链,999
33000406,血炼猪魔的足利爪,999
33000407,血炼猪魔的披风,999
33000408,血炼猪魔的护臂,999
33000409,血炼猪魔的液化魔气,999
33000501,邪恶教主的尖角碎甲,999
33000502,邪恶教主的羊角,999
33000503,邪恶教主的半截翅膀,999
33000504,邪恶教主的断刃,999
33000505,邪恶教主的高跟鞋,999
33000506,邪恶教主的断杖,999
33000507,邪恶教主的腰带,999
33000508,邪恶教主的飘带,999
33000509,邪恶教主的符文,999
33000601,摩萨教主的头盔,999
33000602,摩萨教主的护肩,999
33000603,摩萨教主的护臂,999
33000604,摩萨教主的护腕,999
33000605,摩萨教主的腰带,999
33000606,摩萨教主的手指,999
33000607,摩萨教主的足部,999
33000608,摩萨教主的腹肌,999
33000609,摩萨教主的骨头碎片,999
33000701,恶魔领主的口器,999
33000702,恶魔领主的粘液,999
33000703,恶魔领主的软组织碎片,999
33000704,恶魔领主的酸液,999
33000705,恶魔领主的呼吸器,999
33000706,恶魔领主的寄生虫,999
33000707,恶魔领主的脊椎,999
33000708,恶魔领主的触手,999
33000709,恶魔领主的触脚,999
33000801,牛魔王的长披风,999
33000802,牛魔王的飘带,999
33000803,牛魔王的护肩,999
33000804,牛魔王的断刃,999
33000805,牛魔王的脚趾,999
33000806,牛魔王的护心镜,999
33000807,牛魔王的腰带,999
33000808,牛魔王的牛头,999
33000809,牛魔王的断手,999
33000901,烈焰尸王的锁链,999
33000902,烈焰尸王的符印,999
33000903,烈焰尸王的棺材板,999
33000904,烈焰尸王的头颅,999
33000905,烈焰尸王的背带,999
33000906,烈焰尸王的右臂,999
33000907,烈焰尸王的左脚,999
33000908,烈焰尸王的裹腿,999
33000909,烈焰尸王的碎骨护符,999
33001001,兽人祭司的巨杖,999
33001002,兽人祭司的尖背骨,999
33001003,兽人祭司的长袍,999
33001004,兽人祭司的护肩,999
33001005,兽人祭司的利指甲,999
33001006,兽人祭司的断腿,999
33001007,兽人祭司的发髻,999
33001008,兽人祭司的椎间盘,999
33001009,兽人祭司的尾骨,999
33001101,兽人战将的钢铁护肩,999
33001102,兽人战将的荆棘护臂,999
33001103,兽人战将的利刃,999
33001104,兽人战将的铁头盔,999
33001105,兽人战将的铁靴,999
33001106,兽人战将的铸甲,999
33001107,兽人战将的断臂,999
33001108,兽人战将的心脏,999
33001109,兽人战将的护腿,999
33001201,兽人统帅的铁链,999
33001202,兽人统帅的铁球,999
33001203,兽人统帅的头颅,999
33001204,兽人统帅的胸毛,999
33001205,兽人统帅的铁手铐,999
33001206,兽人统帅的铁腰锁,999
33001207,兽人统帅的断腿,999
33001208,兽人统帅的血液,999
33001209,兽人统帅的断指,999
33001301,蚁后的前足,999
33001302,蚁后的后足,999
33001303,蚁后的毒液,999
33001304,蚁后的酸液,999
33001305,蚁后的前鄂,999
33001306,蚁后的眼睛,999
33001307,蚁后的背甲,999
33001308,蚁后的喷毒器,999
33001309,蚁后的毒囊,999
33001401,蛮荒巨兽的尾骨,999
33001402,蛮荒巨兽的背碎骨,999
33001403,蛮荒巨兽的尾巴,999
33001404,蛮荒巨兽的断脚,999
33001405,蛮荒巨兽的头颅,999
33001406,蛮荒巨兽的椎前骨,999
33001407,蛮荒巨兽的类牛角,999
33001408,蛮荒巨兽的利爪,999
33001409,蛮荒巨兽的血液,999
33001501,火龙王的液化火焰,999
33001502,火龙王的尖刺,999
33001503,火龙王的断尾,999
33001504,火龙王的龙鳞,999
33001505,火龙王的头刺,999
33001506,火龙王的头颅,999
33001507,火龙王的火囊,999
33001508,火龙王的龙须,999
33001509,火龙王的龙骨,999
33001601,飓风领主的羽毛,999
33001602,飓风领主的断翅,999
33001603,飓风领主的断翼,999
33001604,飓风领主的手臂,999
33001605,飓风领主的长脚,999
33001606,飓风领主的护臂,999
33001607,飓风领主的风符,999
33001608,飓风领主的利爪,999
33001609,飓风领主的护腰,999
33001701,至尊帝皇的印玺,999
33001702,至尊帝皇的巨剑,999
33001703,至尊帝皇的巨盾,999
33001704,至尊帝皇的钛合翼,999
33001705,至尊帝皇的铜盔,999
33001706,至尊帝皇的飞天靴,999
33001707,至尊帝皇的铁手套,999
33001708,至尊帝皇的披风,999
33001709,至尊帝皇的能量核心,999
33001801,寒荒海兽的触脚,999
33001802,寒荒海兽的触须,999
33001803,寒荒海兽的巨口器,999
33001804,寒荒海兽的呼吸器,999
33001805,寒荒海兽的尖骨,999
33001806,寒荒海兽的吸盘,999
33001807,寒荒海兽的粘液,999
33001808,寒荒海兽的心脏,999
33001809,寒荒海兽的血液,999
23150001,低级炼魂丹,999
23150002,中级炼魂丹,999
23150003,高级炼魂丹,999
23150004,超级炼魂丹,999
24080001,赤红碎片,999
24080002,蓝染碎片,999
24080003,毒蚕碎片,999
24070001,书页,999
21010018,10000元宝,999
21010019,100000元宝,999
21010005,1000元宝,999
25010020,红色宝石,9999
25020020,白色宝石,9999
25030020,蓝色宝石,9999
25040020,绿色宝石,9999
25050020,紫色宝石,9999
25060020,金色宝石,9999
99990001,红色碎片,999
99990002,白色碎片,999
99990003,蓝色碎片,999
99990004,绿色碎片,999
99990005,紫色碎片,999
99990006,金色碎片,999
27020001,经验宝箱,999
27020002,宝石碎片宝箱,999
99990007,魔瞳神石,999
99990008,时装兑换券,999
99990009,怒之书页,999
21010013,2000元宝,999
23100008,直升一级丹,999
26010001,基础剑法,999
26010002,怒之基础剑法,999
26010011,刺杀剑法,999
26010012,怒之刺杀剑法,999
26010021,半月弯刀,999
26010022,怒之半月弯刀,999
26010031,野蛮冲撞,999
26010032,怒之野蛮冲撞,999
26010041,烈火剑法,999
26010042,怒之烈火剑法,999
26010051,逐日剑法,999
26010052,怒之逐日剑法,999
26020001,雷电术,999
26020002,怒之雷电术,999
26020011,魔法盾,999
26020012,怒之魔法盾,999
26020021,地狱雷光,999
26020022,怒之地狱雷光,999
26020031,火墙,999
26020032,怒之火墙,999
26020041,抗拒火环,999
26020042,怒之抗拒火环,999
26020051,冰咆哮,999
26020052,怒之冰咆哮,999
26030001,灵魂火符,999
26030002,怒之灵魂火符,999
26030011,召唤神兽,999
26030012,怒之召唤虎卫,999
26030021,圣甲术,999
26030022,怒之圣甲术,999
26030031,群体施毒术,999
26030032,怒之群体施毒术,999
26030041,群体治疗术,999
26030042,怒之群体治疗术,999
26030051,群体隐身术,999
26030052,怒之群体隐身术,999
25010021,红色宝石,9999
25020021,白色宝石,9999
25030021,蓝色宝石,9999
25040021,绿色宝石,9999
25050021,紫色宝石,9999
25060021,金色宝石,9999
25010022,红色宝石,9999
25020022,白色宝石,9999
25030022,蓝色宝石,9999
25040022,绿色宝石,9999
25050022,紫色宝石,9999
25060022,金色宝石,9999
99900002,GM宝箱,999
99900001,至尊宝箱,999
25010023,红光★☆,9999
25020023,白光★☆,9999
25030023,蓝光★☆,9999
25040023,绿光★☆,9999
25050023,紫光★☆,9999
25060023,金光★☆,9999
25010024,红光★★,9999
25020024,白光★★,9999
25030024,蓝光★★,9999
25040024,绿光★★,9999
25050024,紫光★★,9999
25060024,金光★★,9999

25010025,红光★★☆,9999
25020025,白光★★☆,9999
25030025,蓝光★★☆,9999
25040025,绿光★★☆,9999
25050025,紫光★★☆,9999
25060025,金光★★☆,9999

25010026,红光★★★,9999
25020026,白光★★★,9999
25030026,蓝光★★★,9999
25040026,绿光★★★,9999
25050026,紫光★★★,9999
25060026,金光★★★,9999
99900006,GM宝箱,999
99900007,潘多拉宝盒,999
99900008,GM宝箱,999
99900009,热血宝箱,999
99900010,荣耀宝箱,999
99990010,千佛兑换卷,999
99990011,轩辕兑换卷,999
99990012,伏溢兑换卷,999
99900011,GM宝箱,999
99900012,千佛四件套★战,999
99900013,千佛四件套★法,999
99900014,千佛四件套★道,999

99900021,伏x四件套★战,999
99900022,伏x四件套★法,999
99900023,伏x四件套★道,999

99900024,轩辕四件套★战,999
99900025,轩辕四件套★法,999
99900026,轩辕四件套★道,999

99900015,至尊宝箱,999
99900016,潘多拉宝盒,999
99900017,热血宝箱,999

99900018,至尊宝箱,999
99900019,潘多拉宝盒,999
99900020,热血宝箱,999

99900027,战士至尊宝箱,999
99900028,法师至尊宝箱,999
99900029,道士至尊宝箱,999

99900030,战士至尊宝箱（10个）,999
99900031,法师至尊宝箱（10个）,999
99900032,道士至尊宝箱（10个）,999
27050001,神装部件宝箱,999

25010027,红光★★★☆,9999
25020027,白光★★★☆,9999
25030027,蓝光★★★☆,9999
25040027,绿光★★★☆,9999
25050027,紫光★★★☆,9999
25060027,金光★★★☆,9999

25010028,红光★★★★,9999
25020028,白光★★★★,9999
25030028,蓝光★★★★,9999
25040028,绿光★★★★,9999
25050028,紫光★★★★,9999
25060028,金光★★★★,9999

19990000,王者卷轴,999
